num_of_layers_disc;list_of_neurons_disc;num_of_layers_gen;list_of_neurons_gen;output_dir_name;num_of_batch;Activation;step;d_Real;d_Real2;ACC_Real;F1;Prec;Recall;d_Generated;d_Generated2;ACC_Generated;KNN_all;KNN_low;KNN_high;Dist_all;Dist_low;Dist_high;Overfitted;
2;[512, 512];0;[];exp_0;100;Elu;14000;0.13156132400035858;0.08709709346294403;0.9599999785423279;0.9522528648376465;1.0;0.9140625;0.0034585860557854176;0.29072436690330505;1.0;20;22;13;6,1159;6,5201;5,809;0;PCA kreis
2;[512, 512];1;[64];exp_1;120;Elu;11500;0.15726733207702637;0.012413944117724895;0.9300000071525574;0.9715758562088013;1.0;0.9453125;0.08836130797863007;0.012899146415293217;1.0;17;17;20;5,0025;5,0231;6,00113;0;meist an gleicher stelle
2;[512, 512];2;[64, 64];exp_2;100;Elu;14000;0.5709921717643738;0.03271830454468727;0.6299999952316284;0.7493952512741089;1.0;0.6015625;0.28345248103141785;0.03099692612886429;0.9800000190734863;14;14;11;6,167;6,377;4,5222;0;Pca geht
2;[512, 512];2;[64, 256];exp_3;120;Elu;11500;0.5400778651237488;0.04136047512292862;0.6899999976158142;0.7802505493164062;1.0;0.6484375;0.36758849024772644;0.019864480942487717;0.9300000071525574;12;17,5;2;5,1089;8,0552;1,816;0;PCA geht so
2;[512, 512];1;[256];exp_4;100;Elu;14000;0.5488128066062927;0.10712416470050812;0.7300000190734863;0.874178946018219;1.0;0.7890625;0.26827970147132874;0.028898419812321663;0.9399999976158142;12;16;3;5,27711;5,5677;3,2132;0;PCA naja
2;[512, 512];1;[512];exp_5;64;Elu;21500;0.5573408007621765;0.04292343184351921;0.6700000166893005;0.8133547306060791;1.0;0.6875;0.2392699420452118;0.022699901834130287;0.9200000166893005;14;22;2;6,12459;7,3737;4,516;0;PCA naja
2;[512, 512];2;[64, 512];exp_6;120;Elu;11500;0.5093955993652344;0.012322978116571903;0.8100000023841858;0.9167179465293884;1.0;0.8515625;0.3975275456905365;0.006121158599853516;0.9700000286102295;10;16,5;2;5,097;7,7989;2,3525;0;PCA nicht so gut
2;[512, 512];2;[512, 64];exp_7;100;Elu;14000;0.19724708795547485;0.027329254895448685;0.9200000166893005;0.967204213142395;1.0;0.9375;0.20470905303955078;0.016825323924422264;1.0;11;19,5;3;5,4847;8,34018;2,1842;1;egal
2;[512, 512];2;[512, 256];exp_8;120;Elu;11500;0.5589420199394226;0.009373418986797333;0.7099999785423279;0.8349825143814087;1.0;0.71875;0.40802738070487976;0.015711281448602676;0.9200000166893005;10;20;2;5,1855;6,761;2,5928;1;over fitted
2;[512, 256];0;[];exp_9;100;Elu;14000;0.17896470427513123;0.20914800465106964;0.9200000166893005;0.9670699834823608;1.0;0.9375;0.0210056584328413;0.20807230472564697;1.0;21;21,5;13;7,407;7,7552;6,8768;0;PCA kreis
2;[512, 256];1;[64];exp_10;100;Elu;14000;0.5269408226013184;0.01757773943245411;0.6899999976158142;0.8213390111923218;1.0;0.703125;0.2553481161594391;0.033839449286460876;0.949999988079071;10;10;9;4,744;4,6134;5,638;0;PCA ok
2;[512, 256];2;[64, 64];exp_11;120;Elu;11500;0.6072689294815063;0.02596181072294712;0.6899999976158142;0.8555205464363098;1.0;0.7578125;0.35486170649528503;0.05931077525019646;0.9200000166893005;18;18;1;6,0898;7,138;2,7028;0;PCA ok
2;[512, 256];2;[64, 256];exp_12;64;Elu;21500;0.5298863649368286;0.00871110800653696;0.6399999856948853;0.7547580003738403;1.0;0.609375;0.33279749751091003;0.018370473757386208;0.8899999856948853;12;13,5;2;5,225;5,2344;4,719;1;egal
2;[512, 256];1;[256];exp_13;120;Elu;11500;0.49486273527145386;0.019184375181794167;0.6899999976158142;0.7812254428863525;1.0;0.6484375;0.4570593237876892;0.02935761958360672;0.7900000214576721;10;15;2;4,83815;5,2015;2,511;0;PCA interssanr
2;[512, 256];1;[512];exp_14;120;Elu;11500;0.6320340037345886;0.05223571136593819;0.49000000953674316;0.6572889685630798;1.0;0.4921875;0.3369849920272827;0.08742934465408325;0.9599999785423279;13;13,5;4;5,429;5,9651;3,6822;0;PCA ok
2;[512, 256];2;[64, 512];exp_15;64;Elu;21500;0.01246169488877058;0.000637569697573781;1.0;1.0;1.0;1.0;0.0231837946921587;0.008205875754356384;1.0;15;16;11;5,63;6,6618;4,669;1;egal
2;[512, 256];2;[512, 64];exp_16;100;Elu;14000;0.6655870079994202;0.019667338579893112;0.5600000023841858;0.6439620852470398;1.0;0.4921875;0.2486344575881958;0.020164214074611664;1.0;8;15,5;2;5,3815;6,3886;2,4174;1;egal
2;[512, 256];2;[512, 256];exp_17;100;Elu;14000;0.5354437828063965;0.037031389772892;0.7200000286102295;0.8398221731185913;1.0;0.7265625;0.34994617104530334;0.01444294210523367;0.9200000166893005;10;10,5;2;5,1947;5,925;2,306;1;egal
2;[256, 512];0;[];exp_18;100;Elu;14000;0.03449060022830963;0.041798852384090424;0.9900000095367432;0.9960317611694336;1.0;0.9921875;0.009953159838914871;0.14197951555252075;1.0;18;20,5;11;5,2254;5,469;4,5412;0;PCA kreis
2;[256, 512];1;[64];exp_19;64;Elu;21500;0.2048460841178894;0.02501678466796875;0.949999988079071;0.9799026250839233;1.0;0.9609375;0.19353073835372925;0.01557406410574913;0.9700000286102295;19;17;4;5,8725;6,875;3,459;1;egal
2;[256, 512];2;[64, 64];exp_20;100;Elu;14000;0.523061215877533;0.01764455996453762;0.7799999713897705;0.8720076084136963;1.0;0.7734375;0.34772980213165283;0.010629680007696152;0.949999988079071;11;13,5;2;5,9406;6,187;5,706;1;egal
2;[256, 512];2;[64, 256];exp_21;100;Elu;14000;0.33094513416290283;0.003632375504821539;0.9399999976158142;0.9756721258163452;1.0;0.953125;0.19836609065532684;0.006291928701102734;1.0;9;16;2;5,2351;7,0986;2,3533;1;egal
2;[256, 512];1;[256];exp_22;100;Elu;14000;0.5130894780158997;0.05164230987429619;0.7200000286102295;0.7975708246231079;1.0;0.671875;0.20320995151996613;0.012255045585334301;1.0;15;18;5;6,20029;6,3096;6,087;0;schlecht
2;[256, 512];1;[512];exp_23;100;Elu;14000;0.5093676447868347;0.007062272634357214;0.7599999904632568;0.858038067817688;1.0;0.7578125;0.267360121011734;0.01468951441347599;0.9900000095367432;12;18;2;5,57546;5,635;3,2788;0;naja nicht gut
2;[256, 512];2;[64, 512];exp_24;120;Elu;11500;0.6323549747467041;0.023981718346476555;0.6499999761581421;0.8005496263504028;1.0;0.671875;0.5033620595932007;0.007931134663522243;0.8899999856948853;7;13;2;3,9667;5,8963;1,6099;1;nicht gut
2;[256, 512];2;[512, 64];exp_25;120;Elu;11500;0.5707355737686157;0.019231759011745453;0.7699999809265137;0.8230018615722656;1.0;0.7109375;0.4320448338985443;0.012376926839351654;0.8999999761581421;4;9;2;3,973;5,3884;2,177;0;es geht nicht perfekt
2;[256, 512];2;[512, 256];exp_26;100;Elu;14000;0.6936517953872681;0.02289525792002678;0.6000000238418579;0.7713732719421387;1.0;0.6328125;0.4338618814945221;0.010577792301774025;0.8999999761581421;6;9;1;4,481;5,624;2,454;1;leider overfitted